smiles,pIC50(M)
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cnc3cccnc3c2)c[nH]1,8.397940008672037
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccccc4)c(O)oc3c2C)OC1(C)C,6.97469413473523
Cc1cc(=O)oc2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)nn3)ccc12,5.494850021680094
CCOC(=O)C(=O)Nc1ccc2[nH]c(=NC(=O)c3cc(Br)c(Br)[nH]3)sc2c1,4.537602002101044
Nc1ccc2c(c1)Oc1c(N3CC[C@H](N)C3)c(F)cc3c(=O)c(C(=O)O)cn-2c13,5.4089353929735005
CCNC(=O)N=c1cc(-c2nc(C(F)(F)F)cs2)c(-c2cc3ncccc3nc2N2CC3CCC2CN3)c[nH]1,8.096910013008056
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccc(O)c(Cl)c4)c(O)oc3c2Cl)OC1(C)C,6.863279432843593
CO[C@@H]1[C@@H](O)[C@@H](OC(=O)c2ccc(C)[nH]2)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(N)c(C)c4)c(O)oc3c2C)OC1(C)C,6.721246399047171
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccccc4)c(O)oc3c2)OC1(C)C,6.6595558851598815
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccccc4)c(O)oc3c2Cl)OC1(C)C,7.142667503568732
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccc(O)c(Cl)c4)c(O)oc3c2)OC1(C)C,6.559090917934783
COc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)c(C)c3oc2=O)ccc1O,7.0655015487564325
